 ,month,day,prcp,tmax,tmin
1963,6,14,0,35,21
1963,6,15,0,38,21
1963,6,16,0,37,23
1963,6,17,0,34,23
1963,6,18,1,39.5,22
1963,6,19,0,41,23
1963,6,20,0,40.5,25
1963,6,21,0,41,22
1963,6,22,0,40,23
1963,6,23,0,38,26
1963,6,24,0,38,23
1963,6,25,0,37,24
1963,6,26,0,-99.9,22
1963,6,27,0,-99.9,22
1963,6,28,0,-99.9,25
1963,6,29,0,38,24
1963,6,30,0,38,24
1963,7,1,0,36,24
1963,7,2,0,33.5,23
1963,7,3,5,35,21.5
1963,7,4,45,28,20
1963,7,5,0,31,20
1963,7,6,1,33,21
1963,7,7,6,36,22
1963,7,8,0,36,21
1963,7,9,0,37,22
1963,7,10,0,38,21
1963,7,11,0,40,23
1963,7,12,0,41,25
1963,7,13,0,41,26
1963,7,14,0,39.5,23
1963,7,15,6,42,23
1963,7,16,0,40,23
1963,7,17,0,40,25
1963,7,18,0,39,24
1963,7,19,0,-99.9,25
1963,7,20,0,-99.9,25
1963,7,21,0,-99.9,24
1963,7,22,0,-99.9,23
1963,7,23,0,40,22
1963,7,24,0,40,24
1963,7,25,0,39,26
1963,7,26,0,40,26
1963,7,27,7.5,40,30
1963,7,28,0,39,25
1963,7,29,0,38,21
1963,7,30,0,37,22
1963,7,31,1,38,22
1963,8,1,20,38,24
1963,8,2,0,37,20
1963,8,3,7,34,24
1963,8,4,2,33,20
1963,8,5,7,30,-99.9
1963,8,6,0,31,-99.9
1963,8,7,0,35,-99.9
1963,8,8,0,36,-99.9
1963,8,9,0,36,21
1963,8,10,0,35,23
1963,8,11,0,37,21
1963,8,12,0,38,22
1963,8,13,1.5,36,24
1963,8,14,6,34,21
1963,8,15,0,35,22
1963,8,16,0,36,22
1963,8,17,37,39,21
1963,8,18,0,33,21
1963,8,19,0,36,20
1963,8,20,0,35,21
1963,8,21,0,38,21
1963,8,22,1,40,22
1963,8,23,0,36,22
1963,8,24,0,37,24
1963,8,25,0,35,21
1963,8,26,0,36,21
1963,8,27,0,38,23
1963,8,28,0,39,24
1963,8,29,16,38,23
1963,8,30,0,35,21
1963,8,31,0,36,20
1963,9,1,0,35,21
1963,9,2,8,32,23
1963,9,3,0,34,20
1963,9,4,1,33,22
1963,9,5,2,29,20
1963,9,6,0,35,20
1963,9,7,0,35,21
1963,9,8,0,36,20
1963,9,9,0,-99.9,21
1963,9,10,0,-99.9,21
1963,9,11,0,-99.9,19
1963,9,12,0.5,-99.9,19
1963,9,13,0,30,20
1963,9,14,0,33,19
1963,9,15,0,33,21
1963,9,16,0,34,21
1963,9,17,0,-99.9,22
1963,9,18,0,-99.9,20
1963,9,19,0,-99.9,22
1963,9,20,0,32,22
1963,9,21,0,32,20
1963,9,22,0,29,22
1963,9,23,0,32,20
1963,9,24,0,32,18
1963,9,25,0,32,18
1963,9,26,0,31,20
1963,9,27,0,30,15
1963,9,28,0,30,15
1963,9,29,0,31,16
1963,9,30,0,29,13
1963,10,1,0,29,10
1963,10,2,0,30,11
1963,10,3,0,31,9
1963,10,4,0,30,9
1963,10,5,0,30,10
1963,10,6,0,34,12
1963,10,7,0,33,13
1963,10,8,0,34,12
1963,10,9,0,34,-99.9
1963,10,10,0,33,-99.9
1963,10,11,0,33,-99.9
1963,10,12,0,34,-99.9
1963,10,13,0,32,16
1963,10,14,0,31,17
1963,10,15,0,34,15
1963,10,16,16,32,16
1963,10,17,0,31,16
1963,10,18,3,25,15
1963,10,19,1,29,16
1963,10,20,0,30,17
1963,10,21,0,29,15
1963,10,22,0,29,17
1963,10,23,0,28,16
1963,10,24,0,29,13
1963,10,25,0,29,12
1963,10,26,0,28,12
1963,10,27,0,33,13
1963,10,28,0,29,14
1963,10,29,0,31,12
1963,10,30,0,33,12
1963,10,31,0,31,11
1963,11,1,0,18,12
1963,11,2,0,21,10
1963,11,3,0,28,8
1963,11,4,0,27,9
1963,11,5,0,26,7
1963,11,6,0,28,5
1963,11,7,2,29,5
1963,11,8,0,14,6
1963,11,9,0,24,4
1963,11,10,0,25,5
1963,11,11,0,27,5
1963,11,12,0,24,6
1963,11,13,0,27,5
1963,11,14,0,28,4
1963,11,15,0,29,5
1963,11,16,0,29,-99.9
1963,11,17,0,26,-99.9
1963,11,18,0,23,-99.9
1963,11,19,0,21,6
1963,11,20,0,24,2
1963,11,21,0,26,5
1963,11,22,0,18,6
1963,11,23,0,17,4
1963,11,24,0,24,1
1963,11,25,0,21,3
1963,11,26,26,15,4
1963,11,27,0,15,7
1963,11,28,0,19,3
1963,11,29,0,14,6
1963,11,30,0,17,2
1963,12,1,0,23,6
1963,12,2,0,15,6
1963,12,3,0,18,2
1963,12,4,0,18,1
1963,12,5,0,16,4
1963,12,6,0,22,6
1963,12,7,0,22,3
1963,12,8,0,15,3
1963,12,9,0,22,2
1963,12,10,0,23,4
1963,12,11,0,15,10
1963,12,12,0,15,2
1963,12,13,0,15,3
1963,12,14,0,12,4
1963,12,15,0,15,-1
1963,12,16,0,13,0
1963,12,17,0,18,-1
1963,12,18,0,17,0
1963,12,19,0,13,3
1963,12,20,0,20,0
1963,12,21,0,22,-1
1963,12,22,0,8,3
1963,12,23,0,12,-7
1963,12,24,0,16,-6
1963,12,25,0,19,-5
1963,12,26,0,18,-4
1963,12,27,0,19,0
1963,12,28,0,18,-3
1963,12,29,0,19,-3
1963,12,30,0,9,-2
1963,12,31,0,12,-6
1964,1,1,-99.9,-99.9,-99.9
1964,1,2,-99.9,-99.9,-99.9
1964,1,3,-99.9,-99.9,-99.9
1964,1,4,-99.9,-99.9,-99.9
1964,1,5,-99.9,-99.9,-99.9
1964,1,6,-99.9,-99.9,-99.9
1964,1,7,-99.9,-99.9,-99.9
1964,1,8,-99.9,-99.9,-99.9
1964,1,9,-99.9,-99.9,-99.9
1964,1,10,-99.9,-99.9,-99.9
1964,1,11,-99.9,-99.9,-99.9
1964,1,12,-99.9,-99.9,-99.9
1964,1,13,-99.9,-99.9,-99.9
1964,1,14,-99.9,-99.9,-99.9
1964,1,15,-99.9,-99.9,-99.9
1964,1,16,-99.9,-99.9,-99.9
1964,1,17,-99.9,-99.9,-99.9
1964,1,18,-99.9,-99.9,-99.9
1964,1,19,-99.9,-99.9,-99.9
1964,1,20,-99.9,-99.9,-99.9
1964,1,21,-99.9,-99.9,-99.9
1964,1,22,-99.9,-99.9,-99.9
1964,1,23,-99.9,-99.9,-99.9
1964,1,24,-99.9,-99.9,-99.9
1964,1,25,-99.9,-99.9,-99.9
1964,1,26,-99.9,-99.9,-99.9
1964,1,27,-99.9,-99.9,-99.9
1964,1,28,-99.9,-99.9,-99.9
1964,1,29,-99.9,-99.9,-99.9
1964,1,30,-99.9,-99.9,-99.9
1964,1,31,-99.9,-99.9,-99.9
1964,2,1,0,18,2
1964,2,2,0,23,0
1964,2,3,0,17,0
1964,2,4,0,18,0
1964,2,5,0,19,-2
1964,2,6,0,19,-3
1964,2,7,0,12,-2
1964,2,8,0,15,-6
1964,2,9,0,20,-4
1964,2,10,0,21,-5
1964,2,11,0,25,-3
1964,2,12,0,29,0
1964,2,13,0,20,6
1964,2,14,0,25,0
1964,2,15,0,15,3
1964,2,16,0,23,-5
1964,2,17,0,15,-2
1964,2,18,0,17,-3
1964,2,19,0,19,-5
1964,2,20,0,16,-4
1964,2,21,0,9,-4
1964,2,22,0,9,-5
1964,2,23,0,18,-5
1964,2,24,0,18,1
1964,2,25,0,23,2
1964,2,26,0,24,1
1964,2,27,0,18,2
1964,2,28,0,14,3
1964,2,29,0,21,2
1964,3,1,0,19,-2
1964,3,2,0,24,-1
1964,3,3,0,19,4
1964,3,4,0,18,2
1964,3,5,7.9,25,0
1964,3,6,0,25,4
1964,3,7,0,30,7
1964,3,8,0,26,17
1964,3,9,0,17,4
1964,3,10,0,24,-3
1964,3,11,0,24,0
1964,3,12,0,28,1
1964,3,13,0,20,7
1964,3,14,0,23,9
1964,3,15,0,29,0
1964,3,16,0,21,3
1964,3,17,0,23,4
1964,3,18,0,22,12
1964,3,19,0,24,10
1964,3,20,0,19,11
1964,3,21,0,21,3
1964,3,22,0,27,5
1964,3,23,0,30,6
1964,3,24,0,30,7
1964,3,25,0,23,8
1964,3,26,0,25,3
1964,3,27,0,28,4
1964,3,28,0,26,4
1964,3,29,0,27,9
1964,3,30,0,21,11
1964,3,31,0,28,11
1964,4,1,0,30,13
1964,4,2,0,32,15
1964,4,3,0,31,12
1964,4,4,0,28,6
1964,4,5,0,26,6
1964,4,6,0,30,8
1964,4,7,0,20,4
1964,4,8,0,21,7
1964,4,9,0,25,5
1964,4,10,0,32,9
1964,4,11,0,32,8
1964,4,12,0,30,9
1964,4,13,0,31,7
1964,4,14,0,30,11
1964,4,15,8,30,13
1964,4,16,0,33,15
1964,4,17,0,33,11
1964,4,18,0,35,11
1964,4,19,0,34,13
1964,4,20,0,35,16
1964,4,21,0,32,10
1964,4,22,0,32,9
1964,4,23,0,32,11
1964,4,24,0,33,9
1964,4,25,0,34,12
1964,4,26,0,28,15
1964,4,27,0,31,9
1964,4,28,0,34,10
1964,4,29,0,34,14
1964,4,30,0,32,9
1964,5,1,0,29,11
1964,5,2,0,33,7
1964,5,3,0,35,12
1964,5,4,0,36,10
1964,5,5,0,38,12
1964,5,6,0,36,15
1964,5,7,0,37,19
1964,5,8,0,29,20
1964,5,9,3,35,19
1964,5,10,0,33,17
1964,5,11,0,35,11
1964,5,12,0,33,11
1964,5,13,0,37,16
1964,5,14,0,39,21
1964,5,15,0,38,23
1964,5,16,5,36,18
1964,5,17,0,34,18
1964,5,18,6,35,21
1964,5,19,0,32,17
1964,5,20,0,30,17
1964,5,21,0,34,16
1964,5,22,0,36,20
1964,5,23,0,38,21
1964,5,24,0,30,20
1964,5,25,0,34,23
1964,5,26,0,36,21
1964,5,27,0,37,21
1964,5,28,0,37,18
1964,5,29,0,38,21
1964,5,30,0,32,14
1964,5,31,0,24,17
1964,6,1,0,30,15
1964,6,2,0,35,16
1964,6,3,0,35,18
1964,6,4,0,37,20
1964,6,5,0,39,20
1964,6,6,0,41,22
1964,6,7,0,41,22
1964,6,8,0,44,21
1964,6,9,0,44,20
1964,6,10,0,42,21
1964,6,11,0,39,22
1964,6,12,36,36,20
1964,6,13,29,34,19
1964,6,14,0,35,19
1964,6,15,0,38,21
1964,6,16,0,37,23
1964,6,17,0,40,21
1964,6,18,0,39,22
1964,6,19,0,39,-99.9
1964,6,20,3.5,38,-99.9
1964,6,21,0,36,-99.9
1964,6,22,0,36,21
1964,6,23,0,38,21
1964,6,24,0,30,22
1964,6,25,0,35,16
1964,6,26,0,34,18
1964,6,27,0,35,20
1964,6,28,0,36,22
1964,6,29,0,37,-99.9
1964,6,30,0,39,-99.9
1964,7,1,0,39,-99.9
1964,7,2,0,41,-99.9
1964,7,3,0,42,23
1964,7,4,0,39,23
1964,7,5,0,38,24
1964,7,6,0,39,24
1964,7,7,0,38,25
1964,7,8,0,38,24
1964,7,9,0,39,24
1964,7,10,0,40,24
1964,7,11,0,42,22
1964,7,12,0,37,27
1964,7,13,0,34,26
1964,7,14,0,39,22
1964,7,15,0,41,23
1964,7,16,0,40,24
1964,7,17,0,37,24
1964,7,18,0,37,23
1964,7,19,0,37,23
1964,7,20,0,39,25
1964,7,21,0,39,24
1964,7,22,0,36,23
1964,7,23,0,35,21
1964,7,24,4,34,20
1964,7,25,0,37,21
1964,7,26,0,35,21
1964,7,27,0,38,20
1964,7,28,0,38,22
1964,7,29,0,36,24
1964,7,30,0,35,23
1964,7,31,0,37,22
1964,8,1,0,37,23
1964,8,2,0,40,22
1964,8,3,0,40,21
1964,8,4,0,37,22
1964,8,5,0,38,23
1964,8,6,0,40,23
1964,8,7,0,39,24
1964,8,8,0,38,15
1964,8,9,0,34,14
1964,8,10,0,40,22
1964,8,11,0,42,25
1964,8,12,0,38,26
1964,8,13,8,40,25
1964,8,14,0,36,21
1964,8,15,3,36,23
1964,8,16,0,33,22
1964,8,17,0,37,21
1964,8,18,0,39,23
1964,8,19,0.2,40,23
1964,8,20,0,33,22
1964,8,21,0.2,36,22
1964,8,22,0,37,20
1964,8,23,0,34,23
1964,8,24,0,37,22
1964,8,25,0,39,22
1964,8,26,2,38,21
1964,8,27,0,35,20
1964,8,28,0,37,20
1964,8,29,0,39,21
1964,8,30,0,40,21
1964,8,31,0,37,21
1964,9,1,0,36,22
1964,9,2,0,36,22.5
1964,9,3,0,37,20.5
1964,9,4,0,35.5,21
1964,9,5,2.5,33.5,21.5
1964,9,6,1,37.5,21.5
1964,9,7,0,37,22.5
1964,9,8,0,38.5,18.5
1964,9,9,0,35,17.5
1964,9,10,0,38,21.5
1964,9,11,0,39,22
1964,9,12,1.5,37,22
1964,9,13,0,35,23
1964,9,14,0,34.5,20
1964,9,15,0,34.5,22
1964,9,16,0,33.5,21.5
1964,9,17,0,35.5,21.5
1964,9,18,0,36.5,21.5
1964,9,19,0,37,21
1964,9,20,0,31.5,22
1964,9,21,0,34,21
1964,9,22,0,33,21
1964,9,23,0,33,21.5
1964,9,24,0,34.5,20
1964,9,25,0,35.5,20
1964,9,26,0,33,20.5
1964,9,27,0,32.5,17.5
1964,9,28,0,33.5,17.5
1964,9,29,0,35,18
1964,9,30,0,33,17
1964,10,1,-99.9,-99.9,-99.9
1964,10,2,-99.9,-99.9,-99.9
1964,10,3,-99.9,-99.9,-99.9
1964,10,4,-99.9,-99.9,-99.9
1964,10,5,0,25,-99.9
1964,10,6,0,26,10
1964,10,7,0,28,9
1964,10,8,0,30,8
1964,10,9,0,31,7
1964,10,10,0,31,8
1964,10,11,0,25,8
1964,10,12,0,29,8
1964,10,13,0,26,11
1964,10,14,0,30,10
1964,10,15,0,33,10
1964,10,16,0,35,15
1964,10,17,0,24,14
1964,10,18,0,25,9
1964,10,19,0,22,5
1964,10,20,0,21,6
1964,10,21,0,29,13
1964,10,22,0,27,8
1964,10,23,0,29,8
1964,10,24,0,29,9
1964,10,25,0,30,8
1964,10,26,0,29,6
1964,10,27,0,29,7
1964,10,28,0,30,6
1964,10,29,0,33,6
1964,10,30,-99.9,-99.9,8
1964,10,31,-99.9,-99.9,-99.9
1964,11,1,0,30,6
1964,11,2,0,30,6
1964,11,3,0,22,7
1964,11,4,0,17,8
1964,11,5,0,19,1
1964,11,6,0,24,-1
1964,11,7,0,26,1
1964,11,8,0,29,2
1964,11,9,0,30,4
1964,11,10,0,-99.9,5
1964,11,11,0,-99.9,4
1964,11,12,0,-99.9,4
1964,11,13,0,22,1
1964,11,14,0,27,2
1964,11,15,0,30,5
1964,11,16,0,29,10
1964,11,17,0,31,10
1964,11,18,0,29,7
1964,11,19,0,29,8
1964,11,20,0,17,2
1964,11,21,0,16,1
1964,11,22,0,13,1
1964,11,23,0,21,1
1964,11,24,0,20,0
1964,11,25,0,20,1
1964,11,26,0,27,0
1964,11,27,0,25,0
1964,11,28,0,24,1
1964,11,29,0,23,0
1964,11,30,0,25,1
1964,12,1,0,23,5
1964,12,2,0,29,5
1964,12,3,0,26,17
1964,12,4,0,22,15
1964,12,5,0,14,7
1964,12,6,0,10,2
1964,12,7,0,10,3
1964,12,8,4.5,12,3
1964,12,9,0,10,5
1964,12,10,0,10,5
1964,12,11,0,17,4
1964,12,12,0,20,-2
1964,12,13,0,20,-1
1964,12,14,0,20,-5
1964,12,15,0,18,-5
1964,12,16,0,19,-2
1964,12,17,0,19,8
1964,12,18,0,18,0
1964,12,19,0,6,0
1964,12,20,0,12,1
1964,12,21,0,17,0
1964,12,22,0,22,-1
1964,12,23,0,25,0
1964,12,24,0,26,0
1964,12,25,0,25,3
1964,12,26,0,21,5
1964,12,27,0,24,2
1964,12,28,0,26,1
1964,12,29,0,26,2
1964,12,30,0,23,0
1964,12,31,0,24,0
1965,1,1,0,22,0
1965,1,2,0,14,5
1965,1,3,0,15,10
1965,1,4,0,22,10
1965,1,5,0,29,6
1965,1,6,0,20,4
1965,1,7,0,30,4
1965,1,8,0,25,12
1965,1,9,0,19,3
1965,1,10,0,12,1
1965,1,11,0,20,0
1965,1,12,0,20,2
1965,1,13,0,25,8
1965,1,14,0,24,5
1965,1,15,0,21,4
1965,1,16,0,20,9
1965,1,17,0,30,1
1965,1,18,0,33,0
1965,1,19,0,29,1
1965,1,20,0,15,6
1965,1,21,0,18,3
1965,1,22,0,18,2
1965,1,23,0,19,5
1965,1,24,0,25,0
1965,1,25,0,20,5
1965,1,26,0,20,-4
1965,1,27,0,13,-4
1965,1,28,0,17,-7
1965,1,29,0,22,-6
1965,1,30,0,24,-6
1965,1,31,0,26,-2
1965,2,1,0,24,1
1965,2,2,0,23,3
1965,2,3,6,22,7
1965,2,4,0,20,10
1965,2,5,0,21,6
1965,2,6,0,23,3
1965,2,7,0,21,4
1965,2,8,0,21,6
1965,2,9,0,17,-1
1965,2,10,0,23,2
1965,2,11,0,22,-3
1965,2,12,0,13,-4
1965,2,13,0,8,-4
1965,2,14,0,15,-9
1965,2,15,0,20,-6
1965,2,16,0,14,-4
1965,2,17,0,12,4
1965,2,18,0,14,4
1965,2,19,0,17,-2
1965,2,20,0,23,-2
1965,2,21,0,22,-1
1965,2,22,0,25,0
1965,2,23,0,25,0
1965,2,24,0,16,-4
1965,2,25,0,20,-2
1965,2,26,0,23,-2
1965,2,27,0,28,1
1965,2,28,0,27,4
1965,3,1,0,20,11
1965,3,2,0,13,10
1965,3,3,0,8,-5
1965,3,4,0,13,-6
1965,3,5,0,17,-5
1965,3,6,0,9,-3
1965,3,7,0,21,-1
1965,3,8,0,26,0
1965,3,9,0,25,3
1965,3,10,0,26,7
1965,3,11,0,25,12
1965,3,12,0,24,6
1965,3,13,0,23,4
1965,3,14,0,26,1
1965,3,15,0,29,2
1965,3,16,0,29,3
1965,3,17,0,24,3
1965,3,18,0,11,0
1965,3,19,0,11,-1
1965,3,20,0,16,-1
1965,3,21,0,26,1
1965,3,22,0,27,2
1965,3,23,0,29,8
1965,3,24,0,31,8
1965,3,25,0,33,11
1965,3,26,0,29,7
1965,3,27,0,32,5
1965,3,28,0,30,7
1965,3,29,0,36,8
1965,3,30,0,22,14
1965,3,31,0,25,11
1965,4,1,0,30,13
1965,4,2,0,37,14
1965,4,3,0,33,11
1965,4,4,0,31,13
1965,4,5,0,28,13
1965,4,6,0,37,8
1965,4,7,0,34,10
1965,4,8,0,29,11
1965,4,9,0,30,14
1965,4,10,0,38,10
1965,4,11,0,32,14
1965,4,12,0,39,8
1965,4,13,0,35,12
1965,4,14,0,36,15
1965,4,15,0,34,8
1965,4,16,0,34,9
1965,4,17,0,36,9
1965,4,18,0,37,10
1965,4,19,0,36,9
1965,4,20,0,38,11
1965,4,21,0,38,10
1965,4,22,0,40,12
1965,4,23,0,38,16
1965,4,24,0,34,17
1965,4,25,0,34,10
1965,4,26,0,31,14
1965,4,27,0,25,12
1965,4,28,0,25,14
1965,4,29,0,28,14
1965,4,30,0,35,15
1965,5,1,0,34,15
1965,5,2,0,35,14
1965,5,3,0,33,14
1965,5,4,0,40,14
1965,5,5,0,35,19
1965,5,6,0,37,11
1965,5,7,0,36,11
1965,5,8,0,34,21
1965,5,9,0,37,12
1965,5,10,0,33,10
1965,5,11,0,28,18.5
1965,5,12,0,36,17
1965,5,13,0,28,13
1965,5,14,0,37,15
1965,5,15,0,35,9
1965,5,16,0,32,18
1965,5,17,0,31,18
1965,5,18,0,34,14
1965,5,19,0,42,18
1965,5,20,0,38,22
1965,5,21,0,41,18
1965,5,22,0,35,17
1965,5,23,0,40,18
1965,5,24,0,35,15
1965,5,25,0,36,11
1965,5,26,0,36,11
1965,5,27,0,37.5,17
1965,5,28,0,37,18.5
1965,5,29,0,33,21
1965,5,30,0,36,19
1965,5,31,0,39,21.5
1965,6,1,0,37,19
1965,6,2,0,38,16
1965,6,3,0,40,17
1965,6,4,0,37,26
1965,6,5,0,36,13
1965,6,6,0,38,13
1965,6,7,0,40,18
1965,6,8,0,41,19
1965,6,9,0,40,23
1965,6,10,0,37,20
1965,6,11,0,39,18
1965,6,12,0,41,19
1965,6,13,0,40,19
1965,6,14,0,43,19
1965,6,15,0,41,24
1965,6,16,6,41,25
1965,6,17,0,39,25
1965,6,18,0,39,19
1965,6,19,0,42,20
1965,6,20,0,39,20
1965,6,21,0,41,22
1965,6,22,0,48,20
1965,6,23,0,39,21
1965,6,24,17,38,24
1965,6,25,2,49,20
1965,6,26,3,43,22
1965,6,27,0,41,22
1965,6,28,0,42,23
1965,6,29,0,42,22
1965,6,30,0,41,22
1965,7,1,0,41,22
1965,7,2,0,50,21
1965,7,3,0,48,20
1965,7,4,0,42,23
1965,7,5,0,37,-99.9
1965,7,6,0,36,-99.9
1965,7,7,0,38,-99.9
1965,7,8,0,40,24
1965,7,9,0,48,24
1965,7,10,0,49,26
1965,7,11,0,45,22
1965,7,12,0,47,25
1965,7,13,0,48,24
1965,7,14,0,47,25
1965,7,15,0,48,22
1965,7,16,0,44,24
1965,7,17,0,50,23
1965,7,18,0,48,22
1965,7,19,0,36,23
1965,7,20,0,46,23
1965,7,21,0,47,21
1965,7,22,0,43,24
1965,7,23,0,47,23
1965,7,24,0,46,23
1965,7,25,0,46,24
1965,7,26,3,38,24
1965,7,27,0,36,24
1965,7,28,0,36,19
1965,7,29,0,35,22
1965,7,30,0,35,23
1965,7,31,0,36,21
1965,8,1,0,34,25
1965,8,2,3,36,24
1965,8,3,0,34,19
1965,8,4,0,34,22
1965,8,5,0,36,24
1965,8,6,0,37,22
1965,8,7,0,39,24
1965,8,8,0,36,24
1965,8,9,0,35,23
1965,8,10,0,35,19
1965,8,11,0,35,22
1965,8,12,0,34,19
1965,8,13,0,37,20
1965,8,14,0,38,22
1965,8,15,0,38,25
1965,8,16,2,36,26
1965,8,17,0,36,20
1965,8,18,1.5,34,22
1965,8,19,1,33,21
1965,8,20,0,33,20
1965,8,21,0,33,21
