year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1925,7,2,15.81,24,46.42,4.13,4,28.59,-1.72,20,31.22
1925,8,7,15.78,28,44.71,4.96,4,26.74,-1.94,24,30.73
1926,8,10,15.74,28.4,43.81,5.08,4.8,26.16,-3.23,23.6,31.55
1926,8,16,16.06,24.4,43.32,5.09,4.7,25.57,-1.07,19.7,29.78
1926,8,17,16.05,25.8,42.51,4.98,3.6,25.75,-1.76,22.2,29.6
1927,6,2,20.34,40.8,45.36,1.37,7.8,29.25,2.13,33,32.95
1927,6,11,17.63,48.7,48.39,2.71,16.5,29.93,-0.39,32.2,33.75
1927,6,17,17.74,47.7,49.7,4.52,7.8,29.32,-2.63,39.9,36.27
1927,6,18,17.31,49.6,49.82,3.78,8.6,29.57,-3.74,41,37.65
1927,6,20,19.09,46.7,47.84,4.25,9.6,28.93,-1.41,37.1,35.16
1927,6,21,17.89,48.5,48.16,4.39,8.6,28.96,-2.82,39.9,35.52
1927,6,24,17.51,38.6,47.83,4.27,5.6,28.94,-0.52,33,32.65
1947,4,14,6.93,6.8,47.06,-4.92,-0.1,22.64,-0.27,6.9,36.86
1955,3,25,8.26,8,43.51,-7.56,7,22.02,0.08,1,37.24
1957,11,21,3.7,3.5,40.65,-8.49,1,17.39,-3.03,2.5,38.43
1959,4,12,7.95,7,45.4,-6.42,3,24.02,-2.25,4,38.12
1959,4,13,9.96,9,44.38,-5.32,5,23.26,0.72,4,35.93
1970,9,27,9.24,9,44.83,-0.26,6,24.76,-3.91,3,33.48
1979,6,10,18.42,18,47.95,4.23,16,27.74,0.5,2,33.9
1995,3,30,9.91,27,41.21,-11.64,-16,25.55,-3.15,43,40.36
1997,4,26,12.77,9,45.48,-3.7,3.5,25.5,1.75,5.5,34.92
1998,1,27,4.13,24.2,35.75,-16.51,-15,20.89,-3.59,39.2,38.99
1998,2,2,3.12,17.5,37.21,-11.75,-13,17.39,-3.07,30.5,37.71
1998,2,20,-0.02,25,42.7,-17.11,-22,24.28,-9.43,47,44.94
2000,10,8,10.95,9,42.98,-0.85,4,23.77,-1.19,5,32.2
2000,10,9,9.14,7,45.15,-0.81,3,23.09,-2.94,4,34.95
